zone,min_C,p05_C,q25_C,median_C,q75_C,p95_C,max_C,mean_C,std_C,count
zone23,17.6797497194888,18.874053395786053,20.99997317365725,22.6676780525931,24.212031197692074,24.999757762168624,25.5330864976847,22.36281876743556,2.0278564395323566,8760
zone24,17.4900782778743,18.875523656640024,21.326301216137722,23.60330496619845,24.733764233142175,25.756014212187313,28.8189085726766,22.97501735468331,2.22549607218597,8760
zone25,16.9939155851239,18.300005373568858,20.872584363942224,22.873757784007402,24.386497151669552,25.330856828342153,28.0468634469952,22.42285503593029,2.2972174373155934,8760
zone26,16.640693508369,17.924081505812726,20.469883943374576,22.6411271410336,24.3976242698171,25.230015183520678,26.9300030029415,22.221120356693504,2.4394782816421476,8760
zone27,16.3133241808227,17.594745067848592,20.099022644193376,22.28829843345635,24.1883506016162,25.0212017437145,26.8159865939437,21.964832899102227,2.497016196939325,8760
zone28,16.9474506330711,17.93110204832283,19.434295211850227,21.84676876830985,23.48616909284415,24.42253921556579,25.4273129270949,21.491481252839858,2.203782398671094,8760
zone29,17.5081053362313,18.449022981052654,19.693169406111824,22.26344095691035,24.2147359512152,25.105486200387308,25.7015834854956,21.99688111475688,2.3394369932192327,8760
zone30,17.6035717258318,18.80438079908556,20.993475318479874,22.58747524405645,24.1451960193828,24.96568037502915,25.4397346529854,22.29918153797522,2.0258722445537325,8760
zone31,17.4746839588513,18.877555457323744,21.31549531750162,23.6115023191036,24.74010108669045,25.775036917025005,28.8548048573421,22.978964979199763,2.229427022545493,8760
zone32,16.4322112317751,17.748133285930464,20.370146503781925,22.442906007763902,23.941959510901523,24.999980896988166,27.7197198048034,22.007139573094047,2.3494050756289084,8760
zone33,16.4431415990291,17.7019423612607,20.295073717626924,22.43533301458435,24.223197370780223,25.04573749743066,26.6722230788938,22.05560270665996,2.460655230059468,8760
zone34,16.1580665903365,17.436941046506014,19.96330613066,22.1413689909542,24.035580854109675,24.9999280998029,26.6348939133181,21.841307958750246,2.508339748105189,8760
zone35,17.1506719945842,18.086997802269988,19.54481150298075,21.98241773791555,23.615731005543452,24.537511150331177,25.5076596181145,21.62426976750456,2.200771652043512,8760
zone36,16.2622436774765,17.0182822965999,18.30687552535775,21.01472111182585,23.31411984137645,24.306334687840824,24.9646889236019,20.830772256365883,2.585087593627984,8760
zone37,15.4230793238704,16.099936409356044,17.494644804603126,20.322860720825453,22.884668149959726,23.97969862442929,24.8218023168498,20.197928122263964,2.7861626817076885,8760
zone38,5.38206556992482,9.669742790922225,12.795191875609175,15.70931823488985,18.704799757410477,22.614099349272294,29.1248439542201,15.85746698130433,4.02783304196286,8760
zone39,18.1181651911412,20.688769096481558,22.069850759334,24.0416806220322,25.96417700510735,27.08505563941105,28.3402596180101,24.005858199576114,2.1871251556455733,8760
zone40,17.1801690190053,18.065362602548664,19.381091529854324,21.97808777094655,23.908613427470172,24.789024446787494,25.4998524978162,21.687275288889502,2.3449193453506334,8760
