day,mean,min,max,day_of_year
2022-08-01,0.14870166666666668,0.12498999999999999,0.16509000000000001,213
2022-08-02,0.15129416666666667,0.129,0.18,214
2022-08-03,0.14785,0.126,0.176,215
2022-08-04,0.14723375,0.12498999999999999,0.17,216
2022-08-05,0.13524125,0.12029999999999999,0.164,217
2022-08-06,0.14433375,0.12192,0.18,218
2022-08-07,0.144305,0.10359,0.175,219
2022-08-08,0.14630791666666668,0.126,0.17036,220
2022-08-09,0.14470249999999998,0.12417,0.17017,221
2022-08-10,0.14477791666666667,0.122,0.17168,222
2022-08-11,0.15018541666666665,0.1235,0.17605,223
2022-08-12,0.1582475,0.12469,0.18278,224
2022-08-13,0.15232375,0.11825,0.18059999999999998,225
2022-08-14,0.14918166666666668,0.09040000000000001,0.20001,226
2022-08-15,0.15378708333333332,0.11309999999999999,0.195,227
2022-08-16,0.14320458333333333,0.105,0.18003,228
2022-08-17,0.13929666666666665,0.09967000000000001,0.17201,229
2022-08-18,0.13467375,0.0986,0.18933000000000003,230
2022-08-19,0.13535,0.09,0.23018,231
2022-08-20,0.16911416666666668,0.12,0.23,232
2022-08-21,0.14464,0.02509,0.20541,233
2022-08-22,0.17640375,0.125,0.25,234
2022-08-23,0.18293,0.14859999999999998,0.25,235
2022-08-24,0.18695208333333335,0.14007,0.23679,236
2022-08-25,0.16187875,0.1331,0.20926,237
2022-08-26,0.17532625000000002,0.125,0.24386000000000002,238
2022-08-27,0.16003875,0.127,0.24281999999999998,239
2022-08-28,0.16928666666666667,0.09962,0.225,240
2022-08-29,0.18842124999999998,0.13290000000000002,0.25307,241
2022-08-30,0.20196291666666666,0.16,0.237,242
2022-08-31,0.18729583333333333,0.15625,0.22782,243
2022-09-01,0.19336125,0.14859999999999998,0.25,244
2022-09-02,0.15213583333333333,0.11977,0.20527,245
2022-09-03,0.11922375,0.02377,0.2068,246
2022-09-04,0.14661666666666667,0.019899999999999998,0.25202,247
2022-09-05,0.18853166666666665,0.12118999999999999,0.277,248
2022-09-06,0.16956791666666668,0.12977,0.26167,249
2022-09-07,0.10656291666666667,0.048420000000000005,0.18915,250
2022-09-08,0.15593625,0.125,0.25,251
2022-09-09,0.159725,0.118,0.25,252
2022-09-10,0.17605291666666667,0.12082999999999999,0.3,253
2022-09-11,0.16142125,0.0985,0.252,254
2022-09-12,0.17563125000000002,0.135,0.24001,255
2022-09-13,0.12875250000000002,0.09,0.212,256
2022-09-14,0.13361333333333333,0.09425,0.24,257
2022-09-15,0.17646125000000001,0.155,0.21525,258
2022-09-16,0.17146375,0.14,0.20228,259
2022-09-17,0.0642875,0.01,0.1675,260
2022-09-18,0.13160791666666669,0.061009999999999995,0.20228,261
2022-09-19,0.19303083333333335,0.1477,0.24880000000000002,262
2022-09-20,0.14947125,0.1245,0.19185,263
2022-09-21,0.13740291666666668,0.10489,0.18793,264
2022-09-22,0.17541916666666668,0.1387,0.25,265
2022-09-23,0.12790666666666667,0.09570000000000001,0.18217,266
2022-09-24,0.10674291666666667,0.0501,0.16008,267
2022-09-25,0.07545041666666667,0.0014399999999999999,0.15682,268
2022-09-26,0.11927416666666667,0.07564,0.2186,269
2022-09-27,0.10015875,0.02101,0.164,270
2022-09-28,0.1086225,0.03618,0.20374,271
2022-09-29,0.11468624999999999,0.086,0.2,272
2022-09-30,0.11838958333333333,0.08,0.218,273
2022-10-01,0.116085,0.07271999999999999,0.21865,274
2022-10-02,0.14500458333333333,0.088,0.23299,275
2022-10-03,0.20038041666666664,0.165,0.27,276
2022-10-04,0.19052541666666667,0.13,0.28,277
2022-10-05,0.16796124999999998,0.12678,0.25,278
2022-10-06,0.11310583333333334,0.075,0.22,279
2022-10-07,0.15437041666666665,0.11238,0.24,280
2022-10-08,0.11930625,0.08148999999999999,0.19000999999999998,281
2022-10-09,0.115665,0.07544,0.21483000000000002,282
2022-10-10,0.16391666666666668,0.10284,0.27,283
2022-10-11,0.17077,0.1351,0.246,284
2022-10-12,0.13395708333333334,0.10457,0.1886,285
2022-10-13,0.14572,0.11194,0.20207,286
2022-10-14,0.13432666666666668,0.092,0.202,287
2022-10-15,0.1157275,0.0584,0.16776,288
2022-10-16,0.10396583333333333,0.0701,0.1489,289
2022-10-17,0.14022916666666665,0.08964,0.205,290
2022-10-18,0.10746291666666667,0.04783,0.16201,291
2022-10-19,0.07987416666666668,0.048369999999999996,0.13674,292
2022-10-20,0.08665541666666667,0.06422,0.12296,293
2022-10-21,0.10780333333333332,0.075,0.17276,294
2022-10-22,0.10590499999999999,0.055200000000000006,0.14343,295
2022-10-23,0.07283583333333334,0.00411,0.13822,296
2022-10-24,0.10978458333333334,0.07759999999999999,0.18001,297
2022-10-25,0.10665833333333334,0.07859999999999999,0.15331999999999998,298
2022-10-26,0.10862041666666666,0.0854,0.147,299
2022-10-27,0.11446166666666667,0.09,0.17232,300
2022-10-28,0.11095916666666666,0.08802,0.14,301
2022-10-29,0.1013925,0.0809,0.13341,302
2022-10-30,0.1358,0.09898,0.22535,303
2022-10-31,0.16407291666666665,0.1146,0.25,304
2022-11-01,0.11032041666666666,0.08088,0.18,305
2022-11-02,0.12598333333333334,0.10101,0.189,306
2022-11-03,0.12189375000000001,0.09090999999999999,0.17352,307
2022-11-04,0.15044208333333334,0.11244,0.21774000000000002,308
2022-11-05,0.12479208333333335,0.10258,0.17,309
2022-11-06,0.11423375000000001,0.09093000000000001,0.15561000000000003,310
2022-11-07,0.12091,0.09768,0.15993000000000002,311
2022-11-08,0.11339500000000001,0.07225,0.1589,312
2022-11-09,0.13251541666666666,0.09727,0.19,313
2022-11-10,0.13478333333333334,0.10563,0.19938999999999998,314
2022-11-11,0.12118416666666666,0.09933,0.1459,315
2022-11-12,0.10622166666666666,0.07816,0.17744,316
2022-11-13,0.13168833333333332,0.10156,0.17023,317
2022-11-14,0.13980291666666667,0.10757,0.17277,318
2022-11-15,0.10965666666666667,0.087,0.15480000000000002,319
2022-11-16,0.10397708333333333,0.0844,0.12653,320
2022-11-17,0.07893333333333334,0.01,0.138,321
2022-11-18,0.1095975,0.085,0.12881,322
2022-11-19,0.06738166666666666,0.022,0.123,323
2022-11-20,0.09657833333333334,0.0634,0.15796000000000002,324
2022-11-21,0.08064375,0.0507,0.10184,325
2022-11-22,0.07335666666666667,0.047200000000000006,0.108,326
2022-11-23,0.09053416666666668,0.00411,0.16,327
2022-11-24,0.137735,0.11097,0.19576,328
2022-11-25,0.14139291666666667,0.10623,0.18261000000000002,329
2022-11-26,0.13021125,0.10265,0.17501,330
2022-11-27,0.11704291666666666,0.092,0.15627000000000002,331
2022-11-28,0.10336416666666666,0.06588,0.1659,332
2022-11-29,0.12154125,0.092,0.19041999999999998,333
2022-11-30,0.15124583333333333,0.13,0.186,334
2022-12-01,0.150075,0.12340999999999999,0.1758,335
2022-12-02,0.12762041666666665,0.09179000000000001,0.17195,336
2022-12-03,0.12002166666666668,0.10348,0.1459,337
2022-12-04,0.18980666666666668,0.168,0.25668,338
2022-12-05,0.20929541666666665,0.157,0.24558000000000002,339
2022-12-06,0.15344458333333333,0.1313,0.19483,340
2022-12-07,0.14230416666666665,0.1347,0.15685,341
2022-12-08,0.12238624999999999,0.1025,0.16644,342
2022-12-09,0.14165333333333333,0.11,0.17042,343
2022-12-10,0.12501874999999998,0.082,0.187,344
2022-12-11,0.14644958333333333,0.1146,0.18106999999999998,345
2022-12-12,0.11450875,0.0896,0.14892,346
2022-12-13,0.09768583333333332,0.00411,0.147,347
2022-12-14,0.08138333333333334,0.0018,0.19269,348
2022-12-15,0.12850458333333334,0.0818,0.19072,349
2022-12-16,0.12825333333333333,0.101,0.15500999999999998,350
2022-12-17,0.1338225,0.10998999999999999,0.15305000000000002,351
