datetime,units,updated_at,value,variable
2022-12-30T15:40:30Z,w,2022-12-30T16:00:04Z,18.111111,pv_1_pac
2022-12-30T15:35:00Z,w,2022-12-30T16:00:04Z,29.5,pv_1_pac
2022-12-30T15:30:50Z,w,2022-12-30T16:00:04Z,19.75,pv_1_pac
2022-12-30T15:25:50Z,w,2022-12-30T16:00:04Z,42.714286,pv_1_pac
2022-12-30T15:20:49Z,w,2022-12-30T16:00:04Z,46.25,pv_1_pac
2022-12-30T15:15:50Z,w,2022-12-30T15:30:03Z,45.5,pv_1_pac
2022-12-30T15:10:50Z,w,2022-12-30T15:30:03Z,39.0,pv_1_pac
2022-12-30T15:05:50Z,w,2022-12-30T15:30:03Z,86.625,pv_1_pac
2022-12-30T15:00:49Z,w,2022-12-30T15:30:03Z,106.125,pv_1_pac
2022-12-30T14:55:49Z,w,2022-12-30T15:30:03Z,68.625,pv_1_pac
2022-12-30T14:50:49Z,w,2022-12-30T15:30:03Z,48.0,pv_1_pac
2022-12-30T14:45:48Z,w,2022-12-30T15:00:04Z,62.25,pv_1_pac
2022-12-30T14:40:48Z,w,2022-12-30T15:00:04Z,68.125,pv_1_pac
2022-12-30T14:35:48Z,w,2022-12-30T15:00:04Z,107.571429,pv_1_pac
2022-12-30T14:30:49Z,w,2022-12-30T15:00:03Z,132.125,pv_1_pac
2022-12-30T14:25:49Z,w,2022-12-30T15:00:03Z,37.25,pv_1_pac
2022-12-30T14:20:49Z,w,2022-12-30T14:30:04Z,53.25,pv_1_pac
2022-12-30T14:15:49Z,w,2022-12-30T14:30:04Z,43.857143,pv_1_pac
2022-12-30T14:10:49Z,w,2022-12-30T14:30:04Z,53.625,pv_1_pac
2022-12-30T14:05:49Z,w,2022-12-30T14:30:04Z,36.5,pv_1_pac
2022-12-30T14:00:49Z,w,2022-12-30T14:30:04Z,73.375,pv_1_pac
2022-12-30T13:55:49Z,w,2022-12-30T14:30:04Z,40.571429,pv_1_pac
2022-12-30T13:50:49Z,w,2022-12-30T14:30:04Z,47.625,pv_1_pac
2022-12-30T13:45:48Z,w,2022-12-30T14:00:03Z,17.5,pv_1_pac
2022-12-30T13:40:48Z,w,2022-12-30T14:00:03Z,9.714286,pv_1_pac
2022-12-30T13:35:48Z,w,2022-12-30T14:00:03Z,75.875,pv_1_pac
2022-12-30T13:30:48Z,w,2022-12-30T14:00:03Z,147.875,pv_1_pac
2022-12-30T13:25:48Z,w,2022-12-30T14:00:03Z,132.25,pv_1_pac
2022-12-30T13:20:46Z,w,2022-12-30T14:00:03Z,141.857143,pv_1_pac
2022-12-30T13:15:46Z,w,2022-12-30T14:00:03Z,197.625,pv_1_pac
2022-12-30T13:10:46Z,w,2022-12-30T14:00:03Z,133.5,pv_1_pac
2022-12-30T13:05:46Z,w,2022-12-30T14:00:03Z,116.125,pv_1_pac
2022-12-30T13:00:45Z,w,2022-12-30T14:00:03Z,114.125,pv_1_pac
2022-12-30T12:55:45Z,w,2022-12-30T14:00:03Z,96.875,pv_1_pac
2022-12-30T12:50:45Z,w,2022-12-30T13:00:04Z,48.857143,pv_1_pac
2022-12-30T12:45:45Z,w,2022-12-30T13:00:04Z,43.5,pv_1_pac
2022-12-30T12:40:45Z,w,2022-12-30T13:00:04Z,52.625,pv_1_pac
2022-12-30T12:35:45Z,w,2022-12-30T13:00:04Z,45.0,pv_1_pac
2022-12-30T12:30:44Z,w,2022-12-30T13:00:04Z,49.25,pv_1_pac
2022-12-30T12:25:44Z,w,2022-12-30T13:00:04Z,65.0,pv_1_pac
2022-12-30T12:20:44Z,w,2022-12-30T13:00:04Z,92.125,pv_1_pac
2022-12-30T12:15:44Z,w,2022-12-30T12:30:03Z,73.142857,pv_1_pac
2022-12-30T12:10:44Z,w,2022-12-30T12:30:03Z,47.625,pv_1_pac
2022-12-30T12:05:44Z,w,2022-12-30T12:30:03Z,49.285714,pv_1_pac
2022-12-30T12:00:44Z,w,2022-12-30T12:30:03Z,65.0,pv_1_pac
2022-12-30T11:55:44Z,w,2022-12-30T12:30:03Z,49.5,pv_1_pac
2022-12-30T11:50:44Z,w,2022-12-30T12:30:03Z,59.25,pv_1_pac
2022-12-30T11:45:44Z,w,2022-12-30T12:00:04Z,57.285714,pv_1_pac
2022-12-30T11:40:44Z,w,2022-12-30T12:00:04Z,50.571429,pv_1_pac
2022-12-30T11:35:44Z,w,2022-12-30T12:00:03Z,32.375,pv_1_pac
2022-12-30T11:30:45Z,w,2022-12-30T12:00:03Z,36.5,pv_1_pac
2022-12-30T11:25:45Z,w,2022-12-30T12:00:03Z,55.25,pv_1_pac
2022-12-30T11:20:45Z,w,2022-12-30T11:30:04Z,45.875,pv_1_pac
2022-12-30T11:15:45Z,w,2022-12-30T11:30:04Z,27.125,pv_1_pac
2022-12-30T11:10:45Z,w,2022-12-30T11:30:04Z,38.125,pv_1_pac
2022-12-30T11:05:44Z,w,2022-12-30T11:30:04Z,30.428571,pv_1_pac
2022-12-30T11:00:45Z,w,2022-12-30T11:30:04Z,20.5,pv_1_pac
2022-12-30T10:55:44Z,w,2022-12-30T11:30:04Z,15.428571,pv_1_pac
2022-12-30T10:50:44Z,w,2022-12-30T11:30:04Z,21.5,pv_1_pac
2022-12-30T10:45:44Z,w,2022-12-30T11:00:04Z,20.625,pv_1_pac
2022-12-30T10:40:44Z,w,2022-12-30T11:00:04Z,18.25,pv_1_pac
2022-12-30T10:35:44Z,w,2022-12-30T11:00:04Z,16.125,pv_1_pac
2022-12-30T10:30:44Z,w,2022-12-30T11:00:04Z,9.571429,pv_1_pac
2022-12-30T10:25:44Z,w,2022-12-30T11:00:04Z,12.5,pv_1_pac
2022-12-30T10:20:44Z,w,2022-12-30T11:00:04Z,21.444444,pv_1_pac
2022-12-30T10:15:44Z,w,2022-12-30T10:30:03Z,12.75,pv_1_pac
2022-12-30T10:10:43Z,w,2022-12-30T10:30:03Z,16.625,pv_1_pac
2022-12-30T10:05:43Z,w,2022-12-30T10:30:03Z,18.0,pv_1_pac
2022-12-30T10:00:43Z,w,2022-12-30T10:30:03Z,15.75,pv_1_pac
2022-12-30T09:55:42Z,w,2022-12-30T10:30:03Z,7.25,pv_1_pac
2022-12-30T09:50:41Z,w,2022-12-30T10:30:03Z,6.714286,pv_1_pac
2022-12-30T09:45:41Z,w,2022-12-30T10:00:04Z,6.875,pv_1_pac
2022-12-30T09:40:41Z,w,2022-12-30T10:00:04Z,5.75,pv_1_pac
2022-12-30T09:35:41Z,w,2022-12-30T10:00:04Z,6.375,pv_1_pac
2022-12-30T09:30:40Z,w,2022-12-30T10:00:04Z,5.875,pv_1_pac
2022-12-30T09:25:40Z,w,2022-12-30T10:00:04Z,4.857143,pv_1_pac
2022-12-30T09:20:40Z,w,2022-12-30T10:00:04Z,4.25,pv_1_pac
2022-12-30T09:15:40Z,w,2022-12-30T09:30:03Z,4.875,pv_1_pac
2022-12-30T09:10:40Z,w,2022-12-30T09:30:03Z,4.375,pv_1_pac
2022-12-30T09:05:40Z,w,2022-12-30T09:30:03Z,3.875,pv_1_pac
2022-12-30T09:00:40Z,w,2022-12-30T09:30:03Z,1.5,pv_1_pac
2022-12-30T08:55:40Z,w,2022-12-30T09:30:03Z,3.0,pv_1_pac
2022-12-30T08:50:39Z,w,2022-12-30T09:30:03Z,1.375,pv_1_pac
2022-12-30T08:45:39Z,w,2022-12-30T09:00:04Z,0.0,pv_1_pac
2022-12-29T17:00:36Z,w,2022-12-29T17:30:04Z,0.0,pv_1_pac
2022-12-29T16:55:36Z,w,2022-12-29T17:30:04Z,0.0,pv_1_pac
2022-12-29T16:50:36Z,w,2022-12-29T17:30:04Z,0.0,pv_1_pac
2022-12-29T16:45:36Z,w,2022-12-29T17:00:04Z,0.0,pv_1_pac
2022-12-29T16:40:36Z,w,2022-12-29T17:00:04Z,0.0,pv_1_pac
2022-12-29T16:35:36Z,w,2022-12-29T17:00:04Z,0.0,pv_1_pac
2022-12-29T16:30:36Z,w,2022-12-29T17:00:04Z,0.0,pv_1_pac
2022-12-29T16:25:36Z,w,2022-12-29T17:00:04Z,0.0,pv_1_pac
2022-12-29T16:20:36Z,w,2022-12-29T17:00:04Z,0.25,pv_1_pac
2022-12-29T16:15:36Z,w,2022-12-29T16:30:03Z,0.0,pv_1_pac
2022-12-29T16:10:36Z,w,2022-12-29T16:30:03Z,0.0,pv_1_pac
2022-12-29T16:05:36Z,w,2022-12-29T16:30:03Z,0.0,pv_1_pac
2022-12-29T16:00:35Z,w,2022-12-29T16:30:03Z,0.0,pv_1_pac
2022-12-29T15:55:35Z,w,2022-12-29T16:00:04Z,1.875,pv_1_pac
2022-12-29T15:50:35Z,w,2022-12-29T16:00:04Z,0.285714,pv_1_pac
2022-12-29T15:45:33Z,w,2022-12-29T16:00:04Z,0.0,pv_1_pac
2022-12-29T15:40:33Z,w,2022-12-29T16:00:04Z,2.625,pv_1_pac
2022-12-29T15:35:33Z,w,2022-12-29T16:00:04Z,1.857143,pv_1_pac
2022-12-29T15:30:33Z,w,2022-12-29T16:00:04Z,6.75,pv_1_pac
2022-12-29T15:25:33Z,w,2022-12-29T16:00:04Z,11.285714,pv_1_pac
2022-12-29T15:20:33Z,w,2022-12-29T16:00:04Z,8.428571,pv_1_pac
2022-12-29T15:15:33Z,w,2022-12-29T15:30:04Z,4.125,pv_1_pac
2022-12-29T15:10:33Z,w,2022-12-29T15:30:04Z,5.125,pv_1_pac
2022-12-29T15:05:33Z,w,2022-12-29T15:30:04Z,10.625,pv_1_pac
2022-12-29T15:00:33Z,w,2022-12-29T15:30:04Z,15.857143,pv_1_pac
2022-12-29T14:55:32Z,w,2022-12-29T15:30:04Z,20.0,pv_1_pac
2022-12-29T14:50:32Z,w,2022-12-29T15:30:04Z,14.125,pv_1_pac
2022-12-29T14:45:32Z,w,2022-12-29T15:00:03Z,12.75,pv_1_pac
2022-12-29T14:40:32Z,w,2022-12-29T15:00:03Z,15.125,pv_1_pac
2022-12-29T14:35:32Z,w,2022-12-29T15:00:03Z,16.714286,pv_1_pac
2022-12-29T14:30:31Z,w,2022-12-29T15:00:03Z,26.125,pv_1_pac
2022-12-29T14:25:31Z,w,2022-12-29T15:00:03Z,40.0,pv_1_pac
2022-12-29T14:20:31Z,w,2022-12-29T15:00:03Z,30.375,pv_1_pac
2022-12-29T14:15:31Z,w,2022-12-29T14:30:03Z,32.75,pv_1_pac
